date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-05-19,2022,5,19,port1201,Singapore,Singapore,SGP,29,42,128,353324,866763
2022-05-20,2022,5,20,port1201,Singapore,Singapore,SGP,38,51,114,1052605,430515
2022-05-21,2022,5,21,port1201,Singapore,Singapore,SGP,37,49,114,390104,557147
2022-05-22,2022,5,22,port1201,Singapore,Singapore,SGP,36,48,111,918580,564585
2022-05-23,2022,5,23,port1201,Singapore,Singapore,SGP,27,49,126,534108,453993
2022-05-24,2022,5,24,port1201,Singapore,Singapore,SGP,32,47,116,586902,627642
2022-05-25,2022,5,25,port1201,Singapore,Singapore,SGP,31,46,111,636788,431675
2022-05-26,2022,5,26,port1201,Singapore,Singapore,SGP,42,57,119,763044,786823
2022-05-27,2022,5,27,port1201,Singapore,Singapore,SGP,31,46,115,503865,371372
2022-05-28,2022,5,28,port1201,Singapore,Singapore,SGP,46,60,136,566397,667931
2022-05-29,2022,5,29,port1201,Singapore,Singapore,SGP,27,38,96,352896,537205
2022-05-30,2022,5,30,port1201,Singapore,Singapore,SGP,29,47,123,645082,546269
2022-05-31,2022,5,31,port1201,Singapore,Singapore,SGP,36,52,121,941583,539937
2022-06-01,2022,6,1,port1201,Singapore,Singapore,SGP,39,52,122,617744,567438
2022-06-02,2022,6,2,port1201,Singapore,Singapore,SGP,38,47,121,537444,525367
2022-06-03,2022,6,3,port1201,Singapore,Singapore,SGP,45,62,133,822480,607870
2022-06-04,2022,6,4,port1201,Singapore,Singapore,SGP,34,49,104,475385,585679
2022-06-05,2022,6,5,port1201,Singapore,Singapore,SGP,36,45,116,696375,604281
2022-06-06,2022,6,6,port1201,Singapore,Singapore,SGP,36,54,150,645735,458067
2022-06-07,2022,6,7,port1201,Singapore,Singapore,SGP,35,48,130,476421,676142
2022-06-08,2022,6,8,port1201,Singapore,Singapore,SGP,38,47,113,434452,612699
2022-06-09,2022,6,9,port1201,Singapore,Singapore,SGP,35,49,133,1366112,348102
2022-06-10,2022,6,10,port1201,Singapore,Singapore,SGP,38,53,119,605743,538856
2022-06-11,2022,6,11,port1201,Singapore,Singapore,SGP,33,45,110,652114,439937
2022-06-12,2022,6,12,port1201,Singapore,Singapore,SGP,31,39,95,383424,694729
2022-06-13,2022,6,13,port1201,Singapore,Singapore,SGP,34,52,129,368879,571774
2022-06-14,2022,6,14,port1201,Singapore,Singapore,SGP,36,48,117,620062,712165
2022-06-15,2022,6,15,port1201,Singapore,Singapore,SGP,36,50,125,1136587,552201
2022-06-16,2022,6,16,port1201,Singapore,Singapore,SGP,37,48,109,594412,486642
2022-06-17,2022,6,17,port1201,Singapore,Singapore,SGP,37,46,95,459460,939838
2022-06-18,2022,6,18,port1201,Singapore,Singapore,SGP,38,47,108,1051860,793767
